Go,12601007
C,673771
JavaScript,448462
Assembly,94897
Java,30290
Sage,30192
M4,25931
NSIS,23196
Shell,17848
Solidity,15311
Makefile,14581
HTML,11276
Python,5984
Ruby,818
Dockerfile,329
