date,additions,deletions,owner,repo
1477180800,410674,-415652,maticnetwork,bor
1477785600,99470,-3962,maticnetwork,bor
1478390400,65594,-67147,maticnetwork,bor
1478995200,1382,-431,maticnetwork,bor
1479600000,3480,-1911,maticnetwork,bor
1480204800,2773,-2221,maticnetwork,bor
1480809600,2282,-2198,maticnetwork,bor
1481414400,1541,-1304,maticnetwork,bor
1482019200,508,-139,maticnetwork,bor
1482624000,0,0,maticnetwork,bor
1483228800,4614,-6316,maticnetwork,bor
1483833600,39078,-19387,maticnetwork,bor
1484438400,32998,-123,maticnetwork,bor
1485043200,4414,-3073,maticnetwork,bor
1485648000,5209,-1516,maticnetwork,bor
1486252800,5020,-3800,maticnetwork,bor
1486857600,45824,-40439,maticnetwork,bor
1487462400,6281,-5647,maticnetwork,bor
1488067200,4629,-4706,maticnetwork,bor
1488672000,6107,-3065,maticnetwork,bor
1489276800,74,-108,maticnetwork,bor
1489881600,8931,-1575,maticnetwork,bor
1490486400,393,-429,maticnetwork,bor
1491091200,17339,-9166,maticnetwork,bor
1491696000,34122,-2879,maticnetwork,bor
1492300800,484,-301,maticnetwork,bor
1492905600,623,-385,maticnetwork,bor
1493510400,1903,-615,maticnetwork,bor
1494115200,986,-511,maticnetwork,bor
1494720000,764,-211,maticnetwork,bor
1495324800,776,-315,maticnetwork,bor
1495929600,1420,-442,maticnetwork,bor
1496534400,366,-89,maticnetwork,bor
1497139200,1377,-718,maticnetwork,bor
1497744000,4118,-2682,maticnetwork,bor
1498348800,3248,-3395,maticnetwork,bor
1498953600,490,-424,maticnetwork,bor
1499558400,2113,-2506121,maticnetwork,bor
1500163200,219,-84,maticnetwork,bor
1500768000,488,-88,maticnetwork,bor
1501372800,17862,-458,maticnetwork,bor
1501977600,3047,-3885,maticnetwork,bor
1502582400,4143,-1542,maticnetwork,bor
1503187200,382,-407,maticnetwork,bor
1503792000,1754,-1281,maticnetwork,bor
1504396800,2744,-946,maticnetwork,bor
1505001600,357,-282,maticnetwork,bor
1505606400,1063,-272,maticnetwork,bor
1506211200,6881,-151,maticnetwork,bor
1506816000,1530,-3343,maticnetwork,bor
1507420800,713,-359,maticnetwork,bor
1508025600,2618,-1270,maticnetwork,bor
1508630400,3420,-1065,maticnetwork,bor
1509235200,5616,-84,maticnetwork,bor
1509840000,5591,-314,maticnetwork,bor
1510444800,53848,-28683,maticnetwork,bor
1511049600,666,-375,maticnetwork,bor
1511654400,883,-296,maticnetwork,bor
1512259200,726,-462,maticnetwork,bor
1512864000,1788,-447,maticnetwork,bor
1513468800,161358,-2083,maticnetwork,bor
1514073600,1524,-225,maticnetwork,bor
1514678400,4180,-1806,maticnetwork,bor
1515283200,8348,-2147,maticnetwork,bor
1515888000,1783,-5585,maticnetwork,bor
1516492800,14524,-4306,maticnetwork,bor
1517097600,343,-297,maticnetwork,bor
1517702400,2203,-1310,maticnetwork,bor
1518307200,1819,-810,maticnetwork,bor
1518912000,12714,-7297,maticnetwork,bor
1519516800,914,-572,maticnetwork,bor
1520121600,15179,-13043,maticnetwork,bor
1520726400,201,-98,maticnetwork,bor
1521331200,1208,-543,maticnetwork,bor
1521936000,523,-785,maticnetwork,bor
1522540800,279,-245,maticnetwork,bor
1523145600,204,-283,maticnetwork,bor
1523750400,7217,-569,maticnetwork,bor
1524355200,915,-103,maticnetwork,bor
1524960000,826,-602,maticnetwork,bor
1525564800,2827,-2555,maticnetwork,bor
1526169600,583,-304,maticnetwork,bor
1526774400,432,-151,maticnetwork,bor
1527379200,174,-230,maticnetwork,bor
1527984000,30611,-862,maticnetwork,bor
1528588800,1347,-876,maticnetwork,bor
1529193600,39825,-9997,maticnetwork,bor
1529798400,221,-124,maticnetwork,bor
1530403200,502,-311,maticnetwork,bor
1531008000,35625,-9375,maticnetwork,bor
1531612800,8594,-3169,maticnetwork,bor
1532217600,15744,-8629,maticnetwork,bor
1532822400,2540,-3121,maticnetwork,bor
1533427200,3347,-1910,maticnetwork,bor
1534032000,4424,-1393,maticnetwork,bor
1534636800,1590,-571,maticnetwork,bor
1535241600,1168,-749,maticnetwork,bor
1535846400,1088,-626,maticnetwork,bor
1536451200,3984,-2690,maticnetwork,bor
1537056000,1044,-618,maticnetwork,bor
1537660800,10570,-9229,maticnetwork,bor
1538265600,12088,-19775,maticnetwork,bor
1538870400,3250,-1844,maticnetwork,bor
1539475200,1490,-404,maticnetwork,bor
1540080000,1114,-217,maticnetwork,bor
1540684800,80,-18,maticnetwork,bor
1541289600,1263,-1061,maticnetwork,bor
1541894400,3411,-888,maticnetwork,bor
1542499200,1447,-823,maticnetwork,bor
1543104000,5042,-6961,maticnetwork,bor
1543708800,537,-262,maticnetwork,bor
1544313600,934,-310,maticnetwork,bor
1544918400,2609,-1088,maticnetwork,bor
1545523200,149,-449,maticnetwork,bor
1546128000,6216,-2345,maticnetwork,bor
1546732800,2768,-1496,maticnetwork,bor
1547337600,1166,-906,maticnetwork,bor
1547942400,14209,-6217,maticnetwork,bor
1548547200,1980,-1063,maticnetwork,bor
1549152000,10738,-3338,maticnetwork,bor
1549756800,85384,-15081,maticnetwork,bor
1550361600,4117,-1143,maticnetwork,bor
1550966400,5148,-7522,maticnetwork,bor
1551571200,1646,-1379,maticnetwork,bor
1552176000,53058,-46190,maticnetwork,bor
1552780800,20882,-18327,maticnetwork,bor
1553385600,2020,-480,maticnetwork,bor
1553990400,14663,-57233,maticnetwork,bor
1554595200,39393,-8023,maticnetwork,bor
1555200000,1010,-675,maticnetwork,bor
1555804800,1771,-644,maticnetwork,bor
1556409600,3472,-2379,maticnetwork,bor
1557014400,1752,-723,maticnetwork,bor
1557619200,7812,-1478,maticnetwork,bor
1558224000,132,-214,maticnetwork,bor
1558828800,56788,-49358,maticnetwork,bor
1559433600,3641,-113501,maticnetwork,bor
1560038400,8683,-6136,maticnetwork,bor
1560643200,1424,-748,maticnetwork,bor
1561248000,4104,-721,maticnetwork,bor
1561852800,1638,-1733,maticnetwork,bor
1562457600,1886,-1115,maticnetwork,bor
1563062400,15177,-10076,maticnetwork,bor
1563667200,55550,-14558,maticnetwork,bor
1564272000,1910,-657,maticnetwork,bor
1564876800,2423,-692,maticnetwork,bor
1565481600,518,-390,maticnetwork,bor
1566086400,300188,-3590,maticnetwork,bor
1566691200,91,-56,maticnetwork,bor
1567296000,139,-122,maticnetwork,bor
1567900800,674,-458,maticnetwork,bor
1568505600,554,-190,maticnetwork,bor
1569110400,12377,-573,maticnetwork,bor
1569715200,1247,-229,maticnetwork,bor
1570320000,0,0,maticnetwork,bor
1570924800,1004,-342,maticnetwork,bor
1571529600,820,-637,maticnetwork,bor
1572134400,6060,-2713,maticnetwork,bor
1572739200,1593,-575,maticnetwork,bor
1573344000,23546,-77845,maticnetwork,bor
1573948800,2233,-816220,maticnetwork,bor
1574553600,2499,-1336,maticnetwork,bor
1575158400,1422,-895,maticnetwork,bor
1575763200,2142,-967,maticnetwork,bor
1576368000,1157,-96,maticnetwork,bor
1576972800,20,-9,maticnetwork,bor
1577577600,2,-1,maticnetwork,bor
1578182400,645,-249,maticnetwork,bor
1578787200,887,-265,maticnetwork,bor
1579392000,3047,-1064,maticnetwork,bor
1579996800,644,-531,maticnetwork,bor
1580601600,1507,-287,maticnetwork,bor
1581206400,1758,-1225,maticnetwork,bor
1581811200,306,-292,maticnetwork,bor
1582416000,1322,-1313,maticnetwork,bor
1583020800,1485,-506,maticnetwork,bor
1583625600,504,-150,maticnetwork,bor
1584230400,1872,-770131,maticnetwork,bor
1584835200,365,-212,maticnetwork,bor
1585440000,1360,-974,maticnetwork,bor
1586044800,6667,-1028,maticnetwork,bor
1586649600,836,-343,maticnetwork,bor
1587254400,1567,-637,maticnetwork,bor
1587859200,2879,-1783,maticnetwork,bor
1588464000,1097,-556,maticnetwork,bor
1589068800,2752,-1289,maticnetwork,bor
1589673600,4669,-2129,maticnetwork,bor
1590278400,603,-366,maticnetwork,bor
1590883200,17827,-1870,maticnetwork,bor
1591488000,351054,-72872,maticnetwork,bor
1592092800,182,-96,maticnetwork,bor
1592697600,222,-32,maticnetwork,bor
1593302400,2507,-372,maticnetwork,bor
1593907200,1465,-526,maticnetwork,bor
1594512000,28099,-5284,maticnetwork,bor
1595116800,376738,-75771,maticnetwork,bor
1595721600,1724,-1336,maticnetwork,bor
1596326400,3135,-3022,maticnetwork,bor
1596931200,151,-133,maticnetwork,bor
1597536000,4716,-678,maticnetwork,bor
1598140800,1035,-237,maticnetwork,bor
1598745600,69,-31,maticnetwork,bor
1599350400,1705,-8176,maticnetwork,bor
1599955200,4016,-1990,maticnetwork,bor
1600560000,2817,-1733,maticnetwork,bor
1601164800,1799,-363,maticnetwork,bor
1601769600,955,-242,maticnetwork,bor
